Type,Index,Description,Subject,Gold,GPT3.5_normal,GPT4_0613_normal
MCQ(multiple),21,JEE Adv 2018 Paper 1,chem,ABC,ABC,BCD
Numeric,25,JEE Adv 2018 Paper 1,chem,1,2,6
Numeric,26,JEE Adv 2018 Paper 1,chem,2992,2580,3198
Numeric,27,JEE Adv 2018 Paper 1,chem,3,1,-14
Numeric,28,JEE Adv 2018 Paper 1,chem,10,2.67,100000
Numeric,30,JEE Adv 2018 Paper 1,chem,19,3,0.33
Numeric,31,JEE Adv 2018 Paper 1,chem,4.47,1,1
MCQ(multiple),37,JEE Adv 2018 Paper 1,math,ABD,C,A
MCQ(multiple),38,JEE Adv 2018 Paper 1,math,BCD,100,D
MCQ(multiple),39,JEE Adv 2018 Paper 1,math,CD,CD,CD
MCQ(multiple),40,JEE Adv 2018 Paper 1,math,ABD,AB,AB
MCQ(multiple),41,JEE Adv 2018 Paper 1,math,BC,C,BC
Numeric,43,JEE Adv 2018 Paper 1,math,8,35,18
Numeric,44,JEE Adv 2018 Paper 1,math,625,125,625
Numeric,45,JEE Adv 2018 Paper 1,math,3748,406,3750
Numeric,46,JEE Adv 2018 Paper 1,math,2,0.75,None
Numeric,47,JEE Adv 2018 Paper 1,math,1,1,0
Numeric,48,JEE Adv 2018 Paper 1,math,3,8,3
Numeric,49,JEE Adv 2018 Paper 1,math,0.5,1.22,0.87
Numeric,50,JEE Adv 2018 Paper 1,math,4,4,2.3
MCQ(multiple),1,JEE Adv 2018 Paper 2,phy,ABD,ABD,B
MCQ(multiple),2,JEE Adv 2018 Paper 2,phy,ACD,AC,CD
MCQ(multiple),5,JEE Adv 2018 Paper 2,phy,AC,A,D
MCQ(multiple),6,JEE Adv 2018 Paper 2,phy,AC,A,AC
Numeric,7,JEE Adv 2018 Paper 2,phy,6.3,-14.8,6.3
Numeric,8,JEE Adv 2018 Paper 2,phy,30,0.125,60
Numeric,9,JEE Adv 2018 Paper 2,phy,2,0.002,2
Numeric,10,JEE Adv 2018 Paper 2,phy,5.56,0.0002,2.63
Numeric,11,JEE Adv 2018 Paper 2,phy,3,0.833,333.33
Numeric,12,JEE Adv 2018 Paper 2,phy,900,166.32,900
Numeric,13,JEE Adv 2018 Paper 2,phy,24,24,2.39
Numeric,14,JEE Adv 2018 Paper 2,phy,3,1.5,3.32
MCQ(multiple),19,JEE Adv 2018 Paper 2,chem,ABD,ABC,BD
MCQ(multiple),20,JEE Adv 2018 Paper 2,chem,BD,CD,BD
Numeric,25,JEE Adv 2018 Paper 2,chem,6,5,5
Numeric,26,JEE Adv 2018 Paper 2,chem,6.47,0.5,4.32
Numeric,27,JEE Adv 2018 Paper 2,chem,126,1575,128.52
Numeric,30,JEE Adv 2018 Paper 2,chem,-14.6,-16.14,-11.675
Numeric,31,JEE Adv 2018 Paper 2,chem,8500,6527,None
Numeric,32,JEE Adv 2018 Paper 2,chem,-11.62,0,5.81
MCQ(multiple),37,JEE Adv 2018 Paper 2,math,D,D,ACD
MCQ(multiple),41,JEE Adv 2018 Paper 2,math,ACD,AC,ABCD
Numeric,43,JEE Adv 2018 Paper 2,math,2,0.77,-0.5
Numeric,44,JEE Adv 2018 Paper 2,math,4,1,6
Numeric,45,JEE Adv 2018 Paper 2,math,119,-2,813.4
Numeric,46,JEE Adv 2018 Paper 2,math,0.4,0.4,None
Numeric,47,JEE Adv 2018 Paper 2,math,2,8,8
Numeric,48,JEE Adv 2018 Paper 2,math,8,3,5
Numeric,49,JEE Adv 2018 Paper 2,math,0.5,0,0
Numeric,50,JEE Adv 2018 Paper 2,math,646,1455,7.16
MCQ,1,JEE Adv 2019 Paper 1,phy,A,B,A
MCQ,2,JEE Adv 2019 Paper 1,phy,C,A,D
MCQ,3,JEE Adv 2019 Paper 1,phy,A,B,D
MCQ,4,JEE Adv 2019 Paper 1,phy,B,1.15,B
MCQ(multiple),8,JEE Adv 2019 Paper 1,phy,ABC,ABD,A
MCQ(multiple),11,JEE Adv 2019 Paper 1,phy,ABC,ABC,D
MCQ(multiple),12,JEE Adv 2019 Paper 1,phy,BC,BC,D
Numeric,16,JEE Adv 2019 Paper 1,phy,1,1,1
MCQ,19,JEE Adv 2019 Paper 1,chem,C,C,C
MCQ,20,JEE Adv 2019 Paper 1,chem,C,C,C
MCQ(multiple),23,JEE Adv 2019 Paper 1,chem,AB,AB,AB
MCQ(multiple),24,JEE Adv 2019 Paper 1,chem,ABD,B,ABD
MCQ(multiple),25,JEE Adv 2019 Paper 1,chem,CD,CD,CD
MCQ(multiple),26,JEE Adv 2019 Paper 1,chem,ACD,AC,CD
MCQ(multiple),27,JEE Adv 2019 Paper 1,chem,BD,B,BD
MCQ(multiple),28,JEE Adv 2019 Paper 1,chem,ABD,AB,ABD
MCQ(multiple),29,JEE Adv 2019 Paper 1,chem,ACD,D,ACD
Numeric,31,JEE Adv 2019 Paper 1,chem,4,4,6
Numeric,32,JEE Adv 2019 Paper 1,chem,19,6,2
Numeric,34,JEE Adv 2019 Paper 1,chem,1.02,1.024,1.024
Numeric,35,JEE Adv 2019 Paper 1,chem,6.75,9,6.75
