Type,Index,Description,Subject,Gold,GPT3.5_normal,GPT4_0613_normal
MCQ(multiple),21,JEE Adv 2018 Paper 1,chem,ABC,C,ABCD
Numeric,25,JEE Adv 2018 Paper 1,chem,1,3,2
Numeric,26,JEE Adv 2018 Paper 1,chem,2992,3858.3,1492
Numeric,27,JEE Adv 2018 Paper 1,chem,3,7,6
Numeric,28,JEE Adv 2018 Paper 1,chem,10,27.64,2.19
Numeric,30,JEE Adv 2018 Paper 1,chem,19,9,0.82
Numeric,31,JEE Adv 2018 Paper 1,chem,4.47,1,0.00002
MCQ(multiple),37,JEE Adv 2018 Paper 1,math,ABD,A,A
MCQ(multiple),38,JEE Adv 2018 Paper 1,math,BCD,A,BC
MCQ(multiple),39,JEE Adv 2018 Paper 1,math,CD,AD,BC
MCQ(multiple),40,JEE Adv 2018 Paper 1,math,ABD,None,AD
MCQ(multiple),41,JEE Adv 2018 Paper 1,math,BC,ABCD,BC
Numeric,43,JEE Adv 2018 Paper 1,math,8,26.6825,18
Numeric,44,JEE Adv 2018 Paper 1,math,625,9,625
Numeric,45,JEE Adv 2018 Paper 1,math,3748,3597,14126
Numeric,46,JEE Adv 2018 Paper 1,math,2,1,1
Numeric,47,JEE Adv 2018 Paper 1,math,1,1,1
Numeric,48,JEE Adv 2018 Paper 1,math,3,8,3
Numeric,49,JEE Adv 2018 Paper 1,math,0.5,1.732,-0.35
Numeric,50,JEE Adv 2018 Paper 1,math,4,2.33,5.67
MCQ(multiple),1,JEE Adv 2018 Paper 2,phy,ABD,B,ABCD
MCQ(multiple),2,JEE Adv 2018 Paper 2,phy,ACD,C,ACD
MCQ(multiple),5,JEE Adv 2018 Paper 2,phy,AC,D,A
MCQ(multiple),6,JEE Adv 2018 Paper 2,phy,AC,BD,ACD
Numeric,7,JEE Adv 2018 Paper 2,phy,6.3,-68.15,7.4
Numeric,8,JEE Adv 2018 Paper 2,phy,30,62.5,60
Numeric,9,JEE Adv 2018 Paper 2,phy,2,None,1
Numeric,10,JEE Adv 2018 Paper 2,phy,5.56,50,50
Numeric,11,JEE Adv 2018 Paper 2,phy,3,6,333.33
Numeric,12,JEE Adv 2018 Paper 2,phy,900,800,0
Numeric,13,JEE Adv 2018 Paper 2,phy,24,None,24
Numeric,14,JEE Adv 2018 Paper 2,phy,3,6,2
MCQ(multiple),19,JEE Adv 2018 Paper 2,chem,ABD,A,C
MCQ(multiple),20,JEE Adv 2018 Paper 2,chem,BD,B,BCD
Numeric,25,JEE Adv 2018 Paper 2,chem,6,8,7
Numeric,26,JEE Adv 2018 Paper 2,chem,6.47,1.99,4.31
Numeric,27,JEE Adv 2018 Paper 2,chem,126,27.49,125.84
Numeric,30,JEE Adv 2018 Paper 2,chem,-14.6,0,-11.93
Numeric,31,JEE Adv 2018 Paper 2,chem,8500,1077,6750
Numeric,32,JEE Adv 2018 Paper 2,chem,-11.62,0.0387,0
MCQ(multiple),37,JEE Adv 2018 Paper 2,math,D,ABCD,D
MCQ(multiple),41,JEE Adv 2018 Paper 2,math,ACD,ABCD,ABCD
Numeric,43,JEE Adv 2018 Paper 2,math,2,2.155,0
Numeric,44,JEE Adv 2018 Paper 2,math,4,1,-2
Numeric,45,JEE Adv 2018 Paper 2,math,119,510.98,630.04
Numeric,46,JEE Adv 2018 Paper 2,math,0.4,0.4,0.4
Numeric,47,JEE Adv 2018 Paper 2,math,2,4,None
Numeric,48,JEE Adv 2018 Paper 2,math,8,0,6
Numeric,49,JEE Adv 2018 Paper 2,math,0.5,0.5,0
Numeric,50,JEE Adv 2018 Paper 2,math,646,4150,1430
MCQ,1,JEE Adv 2019 Paper 1,phy,A,C,C
MCQ,2,JEE Adv 2019 Paper 1,phy,C,D,D
MCQ,3,JEE Adv 2019 Paper 1,phy,A,D,A
MCQ,4,JEE Adv 2019 Paper 1,phy,B,2.3,B
MCQ(multiple),8,JEE Adv 2019 Paper 1,phy,ABC,AC,A
MCQ(multiple),11,JEE Adv 2019 Paper 1,phy,ABC,A,ABC
MCQ(multiple),12,JEE Adv 2019 Paper 1,phy,BC,ABC,BD
Numeric,16,JEE Adv 2019 Paper 1,phy,1,None,None
MCQ,19,JEE Adv 2019 Paper 1,chem,C,A,B
MCQ,20,JEE Adv 2019 Paper 1,chem,C,D,C
MCQ(multiple),23,JEE Adv 2019 Paper 1,chem,AB,AC,AC
MCQ(multiple),24,JEE Adv 2019 Paper 1,chem,ABD,AD,ABD
MCQ(multiple),25,JEE Adv 2019 Paper 1,chem,CD,B,ABCD
MCQ(multiple),26,JEE Adv 2019 Paper 1,chem,ACD,AC,BCD
MCQ(multiple),27,JEE Adv 2019 Paper 1,chem,BD,A,BD
MCQ(multiple),28,JEE Adv 2019 Paper 1,chem,ABD,B,ABC
MCQ(multiple),29,JEE Adv 2019 Paper 1,chem,ACD,D,ACD
Numeric,31,JEE Adv 2019 Paper 1,chem,4,4,8
Numeric,32,JEE Adv 2019 Paper 1,chem,19,50,24
Numeric,34,JEE Adv 2019 Paper 1,chem,1.02,0.0665,0.079
Numeric,35,JEE Adv 2019 Paper 1,chem,6.75,3,6.75
