Type,Index,Description,Subject,Gold,GPT3.5_normal,GPT4_0613_normal
MCQ(multiple),37,JEE Adv 2018 Paper 1,math,ABD,A,AB
MCQ(multiple),38,JEE Adv 2018 Paper 1,math,BCD,AC,ABCD
MCQ(multiple),39,JEE Adv 2018 Paper 1,math,CD,ACD,BD
MCQ(multiple),40,JEE Adv 2018 Paper 1,math,ABD,ABD,B
MCQ(multiple),41,JEE Adv 2018 Paper 1,math,BC,C,BC
Numeric,43,JEE Adv 2018 Paper 1,math,8,63,22.19
Numeric,44,JEE Adv 2018 Paper 1,math,625,54321,625
Numeric,45,JEE Adv 2018 Paper 1,math,3748,4036,3748
Numeric,46,JEE Adv 2018 Paper 1,math,2,2,1
Numeric,47,JEE Adv 2018 Paper 1,math,1,1,1
Numeric,48,JEE Adv 2018 Paper 1,math,3,4,3
Numeric,49,JEE Adv 2018 Paper 1,math,0.5,0.5,0.5
Numeric,50,JEE Adv 2018 Paper 1,math,4,0,2.3
MCQ(multiple),1,JEE Adv 2018 Paper 2,phy,ABD,CD,C
MCQ(multiple),2,JEE Adv 2018 Paper 2,phy,ACD,A,AC
MCQ(multiple),5,JEE Adv 2018 Paper 2,phy,AC,C,C
MCQ(multiple),6,JEE Adv 2018 Paper 2,phy,AC,BD,ABCD
Numeric,7,JEE Adv 2018 Paper 2,phy,6.3,6.3,6.3
Numeric,8,JEE Adv 2018 Paper 2,phy,30,30,60
Numeric,9,JEE Adv 2018 Paper 2,phy,2,2000,1
Numeric,10,JEE Adv 2018 Paper 2,phy,5.56,19950,5.56
Numeric,11,JEE Adv 2018 Paper 2,phy,3,9,6
Numeric,12,JEE Adv 2018 Paper 2,phy,900,1050,1280
Numeric,13,JEE Adv 2018 Paper 2,phy,24,4.5,900
Numeric,14,JEE Adv 2018 Paper 2,phy,3,5.5,4
MCQ(multiple),19,JEE Adv 2018 Paper 2,chem,ABD,A,AD
MCQ(multiple),20,JEE Adv 2018 Paper 2,chem,BD,D,AD
Numeric,25,JEE Adv 2018 Paper 2,chem,6,1,16
Numeric,26,JEE Adv 2018 Paper 2,chem,6.47,6.46,3.23
Numeric,27,JEE Adv 2018 Paper 2,chem,126,0.315,126
Numeric,30,JEE Adv 2018 Paper 2,chem,-14.6,-15,25.6
Numeric,31,JEE Adv 2018 Paper 2,chem,8500,-1750,7500
Numeric,32,JEE Adv 2018 Paper 2,chem,-11.62,-1200,0
MCQ(multiple),37,JEE Adv 2018 Paper 2,math,D,D,ABCD
MCQ(multiple),41,JEE Adv 2018 Paper 2,math,ACD,B,CD
Numeric,43,JEE Adv 2018 Paper 2,math,2,2,0.884
Numeric,44,JEE Adv 2018 Paper 2,math,4,4,4
Numeric,45,JEE Adv 2018 Paper 2,math,119,127,119.06
Numeric,46,JEE Adv 2018 Paper 2,math,0.4,0.4,0.4
Numeric,47,JEE Adv 2018 Paper 2,math,2,2,2
Numeric,48,JEE Adv 2018 Paper 2,math,8,2,9.95
Numeric,49,JEE Adv 2018 Paper 2,math,0.5,0.5,0
Numeric,50,JEE Adv 2018 Paper 2,math,646,646,1430
MCQ,1,JEE Adv 2019 Paper 1,phy,A,B,C
MCQ,2,JEE Adv 2019 Paper 1,phy,C,C,D
MCQ,3,JEE Adv 2019 Paper 1,phy,A,D,A
MCQ,4,JEE Adv 2019 Paper 1,phy,B,B,B
MCQ(multiple),8,JEE Adv 2019 Paper 1,phy,ABC,AD,BD
MCQ(multiple),11,JEE Adv 2019 Paper 1,phy,ABC,B,AB
MCQ(multiple),12,JEE Adv 2019 Paper 1,phy,BC,BD,BD
Numeric,16,JEE Adv 2019 Paper 1,phy,1,1,1
MCQ,19,JEE Adv 2019 Paper 1,chem,C,C,B
MCQ,20,JEE Adv 2019 Paper 1,chem,C,A,C
MCQ(multiple),23,JEE Adv 2019 Paper 1,chem,AB,ABCD,AB
MCQ(multiple),24,JEE Adv 2019 Paper 1,chem,ABD,ABCD,ABD
MCQ(multiple),25,JEE Adv 2019 Paper 1,chem,CD,D,CD
MCQ(multiple),26,JEE Adv 2019 Paper 1,chem,ACD,B,ACD
MCQ(multiple),27,JEE Adv 2019 Paper 1,chem,BD,A,D
MCQ(multiple),28,JEE Adv 2019 Paper 1,chem,ABD,BC,ABC
MCQ(multiple),29,JEE Adv 2019 Paper 1,chem,ACD,AC,CD
Numeric,31,JEE Adv 2019 Paper 1,chem,4,13,5
Numeric,32,JEE Adv 2019 Paper 1,chem,19,19,10
Numeric,34,JEE Adv 2019 Paper 1,chem,1.02,0.00641,0.000831
Numeric,35,JEE Adv 2019 Paper 1,chem,6.75,0.15,6.75
